ccode,year,gender,age_group,edu_ilo,neet_fc
CIV,2025,Female,25-54,Upper Secondary,0.4521541550892272
CIV,2015,Male,25-54,Lower Secondary,0.2910286172646824
CIV,2016,Male,25-54,Lower Secondary,0.1346891778708864
CIV,2017,Male,25-54,Lower Secondary,0.6440704311849581
CIV,2018,Male,25-54,Lower Secondary,0.2418771575073263
CIV,2019,Male,25-54,Lower Secondary,0.0964397604530611
CIV,2020,Male,25-54,Lower Secondary,0.2945142277579611
CIV,2021,Male,25-54,Lower Secondary,0.2226067076341046
CIV,2022,Male,25-54,Lower Secondary,0.1295367048242052
CIV,2023,Male,25-54,Lower Secondary,0.2578364445772934
CIV,2024,Male,25-54,Lower Secondary,0.2287871810969053
CIV,2025,Male,25-54,Lower Secondary,0.2287871810969053
CIV,2015,Male,25-54,No Education,0.1831738929542204
CIV,2016,Male,25-54,No Education,0.0957928287557027
CIV,2017,Male,25-54,No Education,0.2259030225991819
CIV,2018,Male,25-54,No Education,0.2230986970448732
CIV,2019,Male,25-54,No Education,0.0957196128858854
CIV,2020,Male,25-54,No Education,0.2274919863304798
CIV,2021,Male,25-54,No Education,0.2979761736022745
CIV,2022,Male,25-54,No Education,0.1863659100970966
CIV,2023,Male,25-54,No Education,0.4296236845384746
CIV,2024,Male,25-54,No Education,0.3319881894879111
CIV,2025,Male,25-54,No Education,0.3319881894879111
CIV,2015,Male,25-54,Primary,0.2540908056585185
CIV,2016,Male,25-54,Primary,0.1173997246930245
CIV,2017,Male,25-54,Primary,0.5603780053643156
CIV,2018,Male,25-54,Primary,0.1692983004873275
CIV,2019,Male,25-54,Primary,0.0754418722810051
CIV,2020,Male,25-54,Primary,0.2014260335425854
CIV,2021,Male,25-54,Primary,0.1377446329223862
CIV,2022,Male,25-54,Primary,0.1019467652910212
CIV,2023,Male,25-54,Primary,0.2227268243407393
CIV,2024,Male,25-54,Primary,0.1824994021931897
CIV,2025,Male,25-54,Primary,0.1824994021931897
CIV,2015,Male,25-54,Tertiary,0.2043415840888676
CIV,2016,Male,25-54,Tertiary,0.0886418241498157
CIV,2017,Male,25-54,Tertiary,0.0293470171594927
CIV,2018,Male,25-54,Tertiary,0.1732846187713314
CIV,2019,Male,25-54,Tertiary,0.0742915973814528
CIV,2020,Male,25-54,Tertiary,0.1669013956543838
CIV,2021,Male,25-54,Tertiary,0.2464567068766134
CIV,2022,Male,25-54,Tertiary,0.0956114609748207
CIV,2023,Male,25-54,Tertiary,0.2361427572275754
CIV,2024,Male,25-54,Tertiary,0.2455834401380459
CIV,2025,Male,25-54,Tertiary,0.2455834401380459
CIV,2015,Male,25-54,Upper Secondary,0.205663269513134
CIV,2016,Male,25-54,Upper Secondary,0.0914451530733213
CIV,2017,Male,25-54,Upper Secondary,0.1141603150387857
CIV,2018,Male,25-54,Upper Secondary,0.162255717999411
