ccode,year,gender,age,age_group,status,geo,pop_emp_geo
CIV,2015,female,33,25-34,employed,rural,48317.0
CIV,2015,female,33,25-34,employed,urban,45750.0
CIV,2015,female,33,25-34,unemployed,rural,318.0
CIV,2015,female,33,25-34,unemployed,urban,2338.0
CIV,2015,female,33,25-34,inactive,rural,14818.0
CIV,2015,female,33,25-34,inactive,urban,26328.0
CIV,2015,female,33,25-34,student,rural,0.0
CIV,2015,female,33,25-34,student,urban,0.0
CIV,2015,female,34,25-34,employed,rural,48132.0
CIV,2015,female,34,25-34,employed,urban,45574.0
CIV,2015,female,34,25-34,unemployed,rural,317.0
CIV,2015,female,34,25-34,unemployed,urban,2329.0
CIV,2015,female,34,25-34,inactive,rural,14761.0
CIV,2015,female,34,25-34,inactive,urban,26227.0
CIV,2015,female,34,25-34,student,rural,0.0
CIV,2015,female,34,25-34,student,urban,0.0
CIV,2015,female,35,35-44,employed,rural,47561.0
CIV,2015,female,35,35-44,employed,urban,45716.0
CIV,2015,female,35,35-44,unemployed,rural,482.0
CIV,2015,female,35,35-44,unemployed,urban,2152.0
CIV,2015,female,35,35-44,inactive,rural,17995.0
CIV,2015,female,35,35-44,inactive,urban,22805.0
CIV,2015,female,35,35-44,student,rural,0.0
CIV,2015,female,35,35-44,student,urban,0.0
CIV,2015,female,36,35-44,employed,rural,47459.0
CIV,2015,female,36,35-44,employed,urban,45619.0
CIV,2015,female,36,35-44,unemployed,rural,480.0
CIV,2015,female,36,35-44,unemployed,urban,2148.0
CIV,2015,female,36,35-44,inactive,rural,17956.0
CIV,2015,female,36,35-44,inactive,urban,22757.0
CIV,2015,female,36,35-44,student,rural,0.0
CIV,2015,female,36,35-44,student,urban,0.0
CIV,2015,female,37,35-44,employed,rural,46859.0
CIV,2015,female,37,35-44,employed,urban,45042.0
CIV,2015,female,37,35-44,unemployed,rural,474.0
CIV,2015,female,37,35-44,unemployed,urban,2121.0
CIV,2015,female,37,35-44,inactive,rural,17729.0
CIV,2015,female,37,35-44,inactive,urban,22469.0
CIV,2015,female,37,35-44,student,rural,0.0
CIV,2015,female,37,35-44,student,urban,0.0
CIV,2015,female,38,35-44,employed,rural,45411.0
CIV,2015,female,38,35-44,employed,urban,43650.0
CIV,2015,female,38,35-44,unemployed,rural,460.0
CIV,2015,female,38,35-44,unemployed,urban,2055.0
CIV,2015,female,38,35-44,inactive,rural,17181.0
CIV,2015,female,38,35-44,inactive,urban,21775.0
CIV,2015,female,38,35-44,student,rural,0.0
CIV,2015,female,38,35-44,student,urban,0.0
CIV,2015,female,39,35-44,employed,rural,43403.0
CIV,2015,female,39,35-44,employed,urban,41719.0
CIV,2015,female,39,35-44,unemployed,rural,439.0
CIV,2015,female,39,35-44,unemployed,urban,1964.0
CIV,2015,female,39,35-44,inactive,rural,16422.0
CIV,2015,female,39,35-44,inactive,urban,20811.0
CIV,2015,female,39,35-44,student,rural,0.0
CIV,2015,female,39,35-44,student,urban,0.0
CIV,2015,female,40,35-44,employed,rural,41506.0
CIV,2015,female,40,35-44,employed,urban,39896.0
CIV,2015,female,40,35-44,unemployed,rural,420.0
CIV,2015,female,40,35-44,unemployed,urban,1878.0
CIV,2015,female,40,35-44,inactive,rural,15704.0
CIV,2015,female,40,35-44,inactive,urban,19902.0
CIV,2015,female,40,35-44,student,rural,0.0
CIV,2015,female,40,35-44,student,urban,0.0
CIV,2015,female,41,35-44,employed,rural,39622.0
CIV,2015,female,41,35-44,employed,urban,38085.0
CIV,2015,female,41,35-44,unemployed,rural,401.0
CIV,2015,female,41,35-44,unemployed,urban,1793.0
CIV,2015,female,41,35-44,inactive,rural,14991.0
CIV,2015,female,41,35-44,inactive,urban,18998.0
CIV,2015,female,41,35-44,student,rural,0.0
CIV,2015,female,41,35-44,student,urban,0.0
CIV,2015,female,42,35-44,employed,rural,37669.0
CIV,2015,female,42,35-44,employed,urban,36208.0
CIV,2015,female,42,35-44,unemployed,rural,381.0
CIV,2015,female,42,35-44,unemployed,urban,1705.0
CIV,2015,female,42,35-44,inactive,rural,14252.0
CIV,2015,female,42,35-44,inactive,urban,18062.0
CIV,2015,female,42,35-44,student,rural,0.0
CIV,2015,female,42,35-44,student,urban,0.0
CIV,2015,female,43,35-44,employed,rural,35684.0
CIV,2015,female,43,35-44,employed,urban,34300.0
CIV,2015,female,43,35-44,unemployed,rural,361.0
CIV,2015,female,43,35-44,unemployed,urban,1615.0
CIV,2015,female,43,35-44,inactive,rural,13501.0
CIV,2015,female,43,35-44,inactive,urban,17110.0
CIV,2015,female,43,35-44,student,rural,0.0
CIV,2015,female,43,35-44,student,urban,0.0
CIV,2015,female,44,35-44,employed,rural,33695.0
CIV,2015,female,44,35-44,employed,urban,32387.0
CIV,2015,female,44,35-44,unemployed,rural,341.0
CIV,2015,female,44,35-44,unemployed,urban,1525.0
CIV,2015,female,44,35-44,inactive,rural,12749.0
CIV,2015,female,44,35-44,inactive,urban,16156.0
CIV,2015,female,44,35-44,student,rural,0.0
CIV,2015,female,44,35-44,student,urban,0.0
CIV,2015,female,45,45-54,employed,rural,33409.0
CIV,2015,female,45,45-54,employed,urban,28713.0
CIV,2015,female,45,45-54,unemployed,rural,542.0
CIV,2015,female,45,45-54,unemployed,urban,1212.0
CIV,2015,female,45,45-54,inactive,rural,13051.0
CIV,2015,female,45,45-54,inactive,urban,14122.0
CIV,2015,female,45,45-54,student,rural,0.0
CIV,2015,female,45,45-54,student,urban,0.0
CIV,2015,female,46,45-54,employed,rural,31240.0
CIV,2015,female,46,45-54,employed,urban,26849.0
CIV,2015,female,46,45-54,unemployed,rural,507.0
CIV,2015,female,46,45-54,unemployed,urban,1133.0
CIV,2015,female,46,45-54,inactive,rural,12203.0
CIV,2015,female,46,45-54,inactive,urban,13206.0
CIV,2015,female,46,45-54,student,rural,0.0
CIV,2015,female,46,45-54,student,urban,0.0
CIV,2015,female,47,45-54,employed,rural,29287.0
CIV,2015,female,47,45-54,employed,urban,25170.0
CIV,2015,female,47,45-54,unemployed,rural,475.0
CIV,2015,female,47,45-54,unemployed,urban,1063.0
CIV,2015,female,47,45-54,inactive,rural,11440.0
CIV,2015,female,47,45-54,inactive,urban,12380.0
CIV,2015,female,47,45-54,student,rural,0.0
CIV,2015,female,47,45-54,student,urban,0.0
CIV,2015,female,48,45-54,employed,rural,27668.0
CIV,2015,female,48,45-54,employed,urban,23779.0
CIV,2015,female,48,45-54,unemployed,rural,449.0
CIV,2015,female,48,45-54,unemployed,urban,1004.0
CIV,2015,female,48,45-54,inactive,rural,10808.0
CIV,2015,female,48,45-54,inactive,urban,11695.0
CIV,2015,female,48,45-54,student,rural,0.0
CIV,2015,female,48,45-54,student,urban,0.0
CIV,2015,female,49,45-54,employed,rural,26286.0
CIV,2015,female,49,45-54,employed,urban,22591.0
CIV,2015,female,49,45-54,unemployed,rural,426.0
CIV,2015,female,49,45-54,unemployed,urban,954.0
CIV,2015,female,49,45-54,inactive,rural,10268.0
CIV,2015,female,49,45-54,inactive,urban,11111.0
CIV,2015,female,49,45-54,student,rural,0.0
CIV,2015,female,49,45-54,student,urban,0.0
CIV,2015,female,50,45-54,employed,rural,24917.0
CIV,2015,female,50,45-54,employed,urban,21415.0
CIV,2015,female,50,45-54,unemployed,rural,404.0
CIV,2015,female,50,45-54,unemployed,urban,904.0
CIV,2015,female,50,45-54,inactive,rural,9733.0
CIV,2015,female,50,45-54,inactive,urban,10533.0
CIV,2015,female,50,45-54,student,rural,0.0
CIV,2015,female,50,45-54,student,urban,0.0
CIV,2015,female,51,45-54,employed,rural,23603.0
CIV,2015,female,51,45-54,employed,urban,20286.0
CIV,2015,female,51,45-54,unemployed,rural,383.0
CIV,2015,female,51,45-54,unemployed,urban,856.0
CIV,2015,female,51,45-54,inactive,rural,9220.0
CIV,2015,female,51,45-54,inactive,urban,9977.0
CIV,2015,female,51,45-54,student,rural,0.0
CIV,2015,female,51,45-54,student,urban,0.0
CIV,2015,female,52,45-54,employed,rural,22330.0
CIV,2015,female,52,45-54,employed,urban,19192.0
CIV,2015,female,52,45-54,unemployed,rural,362.0
CIV,2015,female,52,45-54,unemployed,urban,810.0
CIV,2015,female,52,45-54,inactive,rural,8723.0
CIV,2015,female,52,45-54,inactive,urban,9439.0
CIV,2015,female,52,45-54,student,rural,0.0
CIV,2015,female,52,45-54,student,urban,0.0
CIV,2015,female,53,45-54,employed,rural,21067.0
CIV,2015,female,53,45-54,employed,urban,18105.0
CIV,2015,female,53,45-54,unemployed,rural,342.0
CIV,2015,female,53,45-54,unemployed,urban,764.0
