ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2019,Lower secondary,55-64,male,0.07008,0.27149
CIV,2020,Lower secondary,55-64,male,0.0708,0.2492666666666666
CIV,2021,Lower secondary,55-64,male,0.0708,0.2270433333333333
CIV,2022,Lower secondary,55-64,male,0.0708,0.20482
CIV,2023,Lower secondary,55-64,male,0.0708,0.20482
CIV,2024,Lower secondary,55-64,male,0.0708,0.20482
CIV,2025,Lower secondary,55-64,male,0.0708,0.20482
CIV,2015,Primary,15-24,female,0.06036,0.6509866666666667
CIV,2016,Primary,15-24,female,0.0438699999999999,0.66937
CIV,2017,Primary,15-24,female,0.0555233333333333,0.68838
CIV,2018,Primary,15-24,female,0.0671766666666666,0.7073900000000001
CIV,2019,Primary,15-24,female,0.07883,0.7264
CIV,2020,Primary,15-24,female,0.0629033333333333,0.73929
CIV,2021,Primary,15-24,female,0.0469766666666666,0.7521800000000001
CIV,2022,Primary,15-24,female,0.03105,0.76507
CIV,2023,Primary,15-24,female,0.03105,0.76507
CIV,2024,Primary,15-24,female,0.03105,0.76507
CIV,2025,Primary,15-24,female,0.03105,0.76507
CIV,2015,Primary,15-24,male,0.0221466666666666,0.5775533333333333
CIV,2016,Primary,15-24,male,0.00881,0.5613199999999999
CIV,2017,Primary,15-24,male,0.01635,0.5907666666666666
CIV,2018,Primary,15-24,male,0.02389,0.6202133333333333
CIV,2019,Primary,15-24,male,0.03143,0.6496599999999999
CIV,2020,Primary,15-24,male,0.0267899999999999,0.6613733333333333
CIV,2021,Primary,15-24,male,0.02215,0.6730866666666667
CIV,2022,Primary,15-24,male,0.0175099999999999,0.6848000000000001
CIV,2023,Primary,15-24,male,0.0175099999999999,0.6848000000000001
CIV,2024,Primary,15-24,male,0.0175099999999999,0.6848000000000001
CIV,2025,Primary,15-24,male,0.0175099999999999,0.6848000000000001
CIV,2015,Primary,25-54,female,0.0467933333333333,0.2975566666666667
CIV,2016,Primary,25-54,female,0.03962,0.34978
CIV,2017,Primary,25-54,female,0.0526,0.33703
