ccode,year,gender,age,age_group,broad_sector,formality,population
CIV,2025,Female,22,15-24,Services,Formal,42.0
CIV,2025,Female,23,15-24,Services,Informal,4447.0
CIV,2025,Female,23,15-24,Services,Formal,40.0
CIV,2025,Female,24,15-24,Services,Informal,4296.0
CIV,2025,Female,24,15-24,Services,Formal,39.0
CIV,2015,Female,15,15-24,Services,Informal,62.0
CIV,2015,Female,15,15-24,Services,Formal,0.0
CIV,2015,Female,16,15-24,Services,Informal,60.0
CIV,2015,Female,16,15-24,Services,Formal,0.0
CIV,2015,Female,17,15-24,Services,Informal,58.0
CIV,2015,Female,17,15-24,Services,Formal,0.0
CIV,2015,Female,18,15-24,Services,Informal,56.0
CIV,2015,Female,18,15-24,Services,Formal,0.0
CIV,2015,Female,19,15-24,Services,Informal,53.0
CIV,2015,Female,19,15-24,Services,Formal,0.0
CIV,2015,Female,20,15-24,Services,Informal,51.0
CIV,2015,Female,20,15-24,Services,Formal,0.0
CIV,2015,Female,21,15-24,Services,Informal,48.0
CIV,2015,Female,21,15-24,Services,Formal,0.0
CIV,2015,Female,22,15-24,Services,Informal,46.0
CIV,2015,Female,22,15-24,Services,Formal,0.0
CIV,2015,Female,23,15-24,Services,Informal,44.0
CIV,2015,Female,23,15-24,Services,Formal,0.0
CIV,2015,Female,24,15-24,Services,Informal,42.0
CIV,2015,Female,24,15-24,Services,Formal,0.0
CIV,2016,Female,15,15-24,Services,Informal,56.0
CIV,2016,Female,15,15-24,Services,Formal,0.0
CIV,2016,Female,16,15-24,Services,Informal,55.0
CIV,2016,Female,16,15-24,Services,Formal,0.0
CIV,2016,Female,17,15-24,Services,Informal,53.0
CIV,2016,Female,17,15-24,Services,Formal,0.0
CIV,2016,Female,18,15-24,Services,Informal,51.0
CIV,2016,Female,18,15-24,Services,Formal,0.0
CIV,2016,Female,19,15-24,Services,Informal,49.0
CIV,2016,Female,19,15-24,Services,Formal,0.0
CIV,2016,Female,20,15-24,Services,Informal,46.0
CIV,2016,Female,20,15-24,Services,Formal,0.0
CIV,2016,Female,21,15-24,Services,Informal,44.0
CIV,2016,Female,21,15-24,Services,Formal,0.0
CIV,2016,Female,22,15-24,Services,Informal,42.0
CIV,2016,Female,22,15-24,Services,Formal,0.0
CIV,2016,Female,23,15-24,Services,Informal,40.0
CIV,2016,Female,23,15-24,Services,Formal,0.0
CIV,2016,Female,24,15-24,Services,Informal,39.0
CIV,2016,Female,24,15-24,Services,Formal,0.0
CIV,2017,Female,15,15-24,Services,Informal,59.0
CIV,2017,Female,15,15-24,Services,Formal,3.0
CIV,2017,Female,16,15-24,Services,Informal,57.0
CIV,2017,Female,16,15-24,Services,Formal,3.0
CIV,2017,Female,17,15-24,Services,Informal,56.0
CIV,2017,Female,17,15-24,Services,Formal,3.0
CIV,2017,Female,18,15-24,Services,Informal,53.0
CIV,2017,Female,18,15-24,Services,Formal,3.0
CIV,2017,Female,19,15-24,Services,Informal,52.0
CIV,2017,Female,19,15-24,Services,Formal,2.0
CIV,2017,Female,20,15-24,Services,Informal,50.0
CIV,2017,Female,20,15-24,Services,Formal,2.0
CIV,2017,Female,21,15-24,Services,Informal,47.0
CIV,2017,Female,21,15-24,Services,Formal,2.0
CIV,2017,Female,22,15-24,Services,Informal,45.0
CIV,2017,Female,22,15-24,Services,Formal,2.0
CIV,2017,Female,23,15-24,Services,Informal,43.0
CIV,2017,Female,23,15-24,Services,Formal,2.0
CIV,2017,Female,24,15-24,Services,Informal,42.0
CIV,2017,Female,24,15-24,Services,Formal,2.0
CIV,2018,Female,15,15-24,Services,Informal,62.0
CIV,2018,Female,15,15-24,Services,Formal,2.0
CIV,2018,Female,16,15-24,Services,Informal,61.0
CIV,2018,Female,16,15-24,Services,Formal,2.0
CIV,2018,Female,17,15-24,Services,Informal,59.0
CIV,2018,Female,17,15-24,Services,Formal,2.0
CIV,2018,Female,18,15-24,Services,Informal,57.0
CIV,2018,Female,18,15-24,Services,Formal,2.0
CIV,2018,Female,19,15-24,Services,Informal,55.0
CIV,2018,Female,19,15-24,Services,Formal,2.0
CIV,2018,Female,20,15-24,Services,Informal,52.0
CIV,2018,Female,20,15-24,Services,Formal,2.0
CIV,2018,Female,21,15-24,Services,Informal,50.0
CIV,2018,Female,21,15-24,Services,Formal,2.0
CIV,2018,Female,22,15-24,Services,Informal,49.0
CIV,2018,Female,22,15-24,Services,Formal,1.0
CIV,2018,Female,23,15-24,Services,Informal,47.0
CIV,2018,Female,23,15-24,Services,Formal,1.0
CIV,2018,Female,24,15-24,Services,Informal,45.0
CIV,2018,Female,24,15-24,Services,Formal,1.0
CIV,2019,Female,15,15-24,Services,Informal,50.0
CIV,2019,Female,15,15-24,Services,Formal,1.0
CIV,2019,Female,16,15-24,Services,Informal,49.0
CIV,2019,Female,16,15-24,Services,Formal,1.0
CIV,2019,Female,17,15-24,Services,Informal,47.0
CIV,2019,Female,17,15-24,Services,Formal,1.0
CIV,2019,Female,18,15-24,Services,Informal,46.0
CIV,2019,Female,18,15-24,Services,Formal,1.0
CIV,2019,Female,19,15-24,Services,Informal,44.0
CIV,2019,Female,19,15-24,Services,Formal,1.0
CIV,2019,Female,20,15-24,Services,Informal,42.0
CIV,2019,Female,20,15-24,Services,Formal,1.0
CIV,2019,Female,21,15-24,Services,Informal,41.0
CIV,2019,Female,21,15-24,Services,Formal,1.0
CIV,2019,Female,22,15-24,Services,Informal,39.0
CIV,2019,Female,22,15-24,Services,Formal,1.0
CIV,2019,Female,23,15-24,Services,Informal,38.0
CIV,2019,Female,23,15-24,Services,Formal,1.0
CIV,2019,Female,24,15-24,Services,Informal,36.0
CIV,2019,Female,24,15-24,Services,Formal,1.0
CIV,2020,Female,15,15-24,Services,Informal,68.0
CIV,2020,Female,15,15-24,Services,Formal,1.0
CIV,2020,Female,16,15-24,Services,Informal,67.0
CIV,2020,Female,16,15-24,Services,Formal,1.0
CIV,2020,Female,17,15-24,Services,Informal,65.0
CIV,2020,Female,17,15-24,Services,Formal,1.0
CIV,2020,Female,18,15-24,Services,Informal,63.0
CIV,2020,Female,18,15-24,Services,Formal,1.0
CIV,2020,Female,19,15-24,Services,Informal,60.0
CIV,2020,Female,19,15-24,Services,Formal,1.0
CIV,2020,Female,20,15-24,Services,Informal,58.0
CIV,2020,Female,20,15-24,Services,Formal,1.0
CIV,2020,Female,21,15-24,Services,Informal,56.0
CIV,2020,Female,21,15-24,Services,Formal,1.0
CIV,2020,Female,22,15-24,Services,Informal,54.0
CIV,2020,Female,22,15-24,Services,Formal,1.0
CIV,2020,Female,23,15-24,Services,Informal,52.0
CIV,2020,Female,23,15-24,Services,Formal,1.0
CIV,2020,Female,24,15-24,Services,Informal,50.0
CIV,2020,Female,24,15-24,Services,Formal,1.0
CIV,2021,Female,15,15-24,Services,Informal,82.0
CIV,2021,Female,15,15-24,Services,Formal,1.0
CIV,2021,Female,16,15-24,Services,Informal,80.0
CIV,2021,Female,16,15-24,Services,Formal,1.0
CIV,2021,Female,17,15-24,Services,Informal,78.0
CIV,2021,Female,17,15-24,Services,Formal,1.0
CIV,2021,Female,18,15-24,Services,Informal,76.0
CIV,2021,Female,18,15-24,Services,Formal,1.0
CIV,2021,Female,19,15-24,Services,Informal,73.0
CIV,2021,Female,19,15-24,Services,Formal,1.0
CIV,2021,Female,20,15-24,Services,Informal,71.0
CIV,2021,Female,20,15-24,Services,Formal,1.0
CIV,2021,Female,21,15-24,Services,Informal,68.0
CIV,2021,Female,21,15-24,Services,Formal,1.0
CIV,2021,Female,22,15-24,Services,Informal,66.0
CIV,2021,Female,22,15-24,Services,Formal,1.0
CIV,2021,Female,23,15-24,Services,Informal,64.0
CIV,2021,Female,23,15-24,Services,Formal,1.0
